詞語,讀音,備註
薰胴,,
麪拖蝦,,
羊湯,,
肉圓,,
凍水,,
溏黃,,
茶葉蛋,,
白焐蛋,,
紅蛋,,
燉蛋,,
炒蛋,,
荷包蛋,,
水潽蛋,,
皮蛋,,
鹽鴨蛋,,
喜蛋,,
全喜,,
半喜,,
混蛋,,
海蜇,,
小菜,,
素小菜,,
揀菜,,
燒小菜,,
冷盆,,
大菜,,
炒頭,,
熱炒,,
鱔糊,,
爛糊肉絲,,
豆腐,,
豆腐皮,,
百葉,,
豆腐乾,,
豆腐花,,
豆腐漿,,
鹹菜,,
乳腐,,
索粉,,
麪筋,,
油麪筋,,
臭豆腐乾,,
木耳,,
黑木耳,,
白木耳,,
金金菜,,
扁尖,,
烏頭,,
澆頭,,
白篤,,
汆湯,,
改刀,,
着膩,,
得殼,,
嚼弗入,,
味道,,
鹹頭,,
粗鹽,,
細鹽,,
豬油,,
葷油,,
菜油,,
麻油,,
醬油,,
酸醋,,
料酒,,
赤砂糖,,
綿白糖,,
砂糖,,
冰糖,,
味之素,,
胡椒粉,,
甜麪醬,,
豆瓣醬,,
辣火醬,,
小喫,,
老蔔,,
老蔔絲餅,,
槧光荸薺,,
糖芋艿,,
焐熟藕,,
糉子糖,,
麥芽糖,,
黃連頭,,
鹽金花菜,,
支老蔔,,
支酸,,
巧果,,
香菸,,
香菸殼子,,
香菸頭,,
香菸屁股,,
磕頭牌,,
喫香菸,,
旱菸,,
水菸,,
水菸筒,,
紙出,,
喫茶,,
茶葉,,
泡茶,,
原泡茶,,
茶垠,,
茶𪣩,,
喫老酒,,
喫酒,,
燒酒,,
黃酒,,
冬陽酒,,
篩酒,,
肚皮餓,,
嘴乾,,
打扮,,
着衣裳,,
脫衣裳,,
做衣裳,,
着睏,,
扎底,,
定被頭,,
汏衣裳,,
汏一潽,,
毛頭,,
抳席,,
百辮子,,
夾裏,,
大襟,,
小襟,,
下襬,,
領頭,,
繰邊,,
衣裳管,,
褲腰,,
褲襠,,
褲子帶,,
褲腳管,,
腳管,,
袋袋,,
貼邊,,
紐頭,,
紐襻,,
紐子,,
紐頭洞,,
鞋帶,,
鞋底,,
鞋幫,,
士林布,,
白作布,,
夏布,,
帆布,,
夾里布,,
絨頭繩,,
頭繩,,
絨線,,
絲縷,,
杜做个,,
賣家个,,
衣裳,,
長衫,,
馬褂,,
旗袍,,
短打,,
短衫,,
棉襖,,
襖團,,
夾襖,,
單短衫,,
列寧裝,,
殼脫,,
襯衫,,
罩衫,,
球衫,,
司惠脫,,
衛生衫,,
襯裏短衫,,
汗衫,,
馬甲,,
緊身馬甲,,
汗馬甲,,
絨頭繩短衫,,
絨線衫,,
肚兜,,
毛衫,,
褲子,,
單褲,,
夾褲,,
球褲,,
絨頭繩褲子,,
絨線褲,,
襯褲,,
西裝短褲,,
三角褲,,
罩褲,,
開襠褲,,
鞋子,,
棉鞋,,
蚌殼爿棉鞋,,
夾鞋,,
球鞋,,
跑鞋,,
蒲鞋,,
草鞋,,
套鞋,,
釘鞋,,
拖鞋,,
木屐,,
塔辣板,,
小腳鞋子,,
楦頭,,
鞋曳拔,,
鞋肚裏,,
長統襪,,
短統襪,,
寬緊帶,,
帽子,,
銅盆帽,,
小滴粒帽子,,
羅宋帽,,
草帽,,
箬帽,,
鴨舌頭,,
圍巾,,
手套,,
絹頭,,
圍饞,,
圍身,,
尿布,,
首飾,,
鐲頭,,
戒指,,
項圈,,
長命百歲,,
軋叉,,
房子,,
平房,,
樓房,,
洋房,,
草棚棚,,
房間,,
客堂,,
客堂間,,
坐起,,
夾廂,,
樓中間,,
牆門間,,
屋裏,,
天井,,
圍牆,,
照牆,,
樓丄,,
樓下,,
胡梯,,
陽臺,,
屋面,,
石庫門,,
料檐,,
桁條,,
椽子,,
䈍磚,,
擱柵,,
庭柱,,
石鼓墩,,
街沿,,
琴頭,,
天花板,,
前門,,
後門,,
矮䈳,,
門檻,,
門角落,,
門閂,,
板壁,,
天窗,,
天落撐,,
地落撐,,
門膛子,,
戧水䈳,,
晴落,,
窗盤,,
走廊,,
備弄,,
竈下間,,
竈下,,
竈頭,,
單眼竈,,
兩眼竈,,
三眼竈,,
湯罐,,
煙囪,,
駁岸,,
踏渡,,
踏渡琴,,
坑棚,,
屎坑,,
馬桶間,,
豬圈,,
狗窠,,
雞棚,,
家生,,
五斗櫥,,
夜壺箱,,
臺子,,
方臺子,,
圓臺,,
八仙桌,,
麻將臺,,
長臺,,
半桌,,
寫字檯,,
鏡臺,,
麪湯臺,,
箱櫥,,
先櫃,,
百靈臺,,
喫飯臺子,,
檯布,,
桌圍,,
抽屜,,
矮凳,,
交椅,,
靠背,,
竹交椅,,
竹榻,,
藤榻,,
長凳,,
骨牌凳,,
杌子,,
春凳,,
懶凳,,
蒲團,,
棕墊,,
地鋪,,
帳子,,
帳着鉤,,
帳檐,,
被頭,,
被頭鋪蓋,,
被風洞,,
苫被,,
被夾裏,,
被面,,
棉花胎,,
單被,,
褥單,,
褥子,,
草蓆,,
篾席,,
枕頭,,
枕頭套,,
三節架,,
三尖架子,,
馬桶,,
夜壺,,
馬桶豁洗,,
碗盞家生,,
飯碗,,
小菜碗,,
大湯碗,,
青邊碗,,
盆子,,
酒盅,,
筷兒,khua3 ng1,
筷箸籠,,
鑊子,,
刮鑊子,,
鋼宗鑊子,,
剷刀,,
箲帚,,
笊籬,,
飯筲箕,,
淘籮,,
罩籃,,
廣勺,,
銅勺,,
吊子,,
銅吊,,
酒甏,,
切菜刀,,
砧墩板,,
飯桶,,
窩窠,,
蒸籠,,
蒸架,,
水缸,,
泔腳,,
泔腳鉢頭,,
抹布,,
行竈,,
硬柴,,
煤爐,,
煤基,,
煤球,,
炭基,,
火夾,,
面桶,,
面盆,,
面盆架子,,
皮皁,,
香皮皁,,
揩面手巾,,
手巾,,
腳桶,,
腳布,,
浴桶,,
提桶,,
吊桶,,
井繩,,
熱水瓶,,
茶杯,,
茶壺,,
蓋頭,,
腳爐,,
湯婆子,,
手爐,,
木梳,,
編箕,,
洋手照,,
油盞頭,,
燈草,,
洋蠟燭,,
燈籠,,
油紙傘,,
油布傘,,
陽傘,,
蓑衣,,
雨衣,,
皮夾子,,
圖章,,
圖書,,
眼鏡,,
手錶,,
針箍,,
線板,,
延線,,
延線屁股,,
延線頭,,
針腳,,
剪刀,,
錐鑽,,
擦板,,
棒槌,,
雞毛撣帚,,
扇子,,
蒲扇,,
拄拐,,
司的克,,
草紙,,
自來火,,
掃帚,,
畚箕,,
垃圾,,
拖畚,,
輪盤,,
挖耳,,
身體,,
身胚,,
條幹,,
塊甲,,
骷丄頭,,
光郎頭,,
頭頂心,,
後腦勺子,,
頭髮,,
少白頭,,
特頭髮,,
額骨頭,,
衝額角,,
雨落弗溼眼,,
鬢腳,,
辮子,,
頭髮團,,
把根,,
前劉海,,
面孔,,
顴骨,,
酒靨,,
耳光,,
人中,,
眼睛,,
眼烏珠,,
眼白,,
眼黑,,
眼仙人,,
眼梢,,
眼凼,,
眼圈,,
眼淚,,
眼皮,,
單眼皮,,
雙眼皮,,
眼眵,,
眼睫毛,,
眉毛,,
鼻頭,,
鼻毛,,
鼻樑,,
鼻涕,,
鼻涕乾,,
鼻頭管,,
鼻頭洞,,
鼻尖,,
鼻頭尖,,
鷹爪鼻頭,,
塌鼻樑,,
耳朵,,
耳朵管,,
嘴脣,,
鬚鬚,,
租須,,
拉帶鬍子,,
小鬚鬚,,
小租須,,
舌頭,,
舌苔,,
大舌頭,,
饞唾,,
牙子,,
門牙,,
盤牙,,
牙齦肉,,
上霍,,
下巴,,
超下巴,,
濟團嘴,,
頭頸,,
爭食潭,,
喉嚨,,
花掀,,
濟手,,
右手,,
手心,,
手背,,
拳頭,,
節頭子,,
節頭,,
節甲子,,
節甲,,
手甲子,,
大密節頭,,
指人節頭,,
當中節頭,,
無名指,,
小密節頭,,
臂膊,,
臂膊撐子,,
臂膊彎,,
大髈,,
小髈,,
髈哈拉里,,
腳饅頭,,
髈彎彎,,
掀面,,
腳歌骨,,
赤腳,,
腳背,,
腳底心,,
腳尖,,
腳跟,,
腳節頭,,
腳節掐,,
腳丫,,
雞眼,,
肩架,,
退肩架,,
扛肩架,,
膈辣肢,,
心口頭,,
胸脯,,
肋棚骨,,
軟檔,,
奶奶,,
背心,,
背梁脊骨,,
肚皮,,
小肚皮,,
肚皮眼,,
肚臍眼,,
腰眼,,
撲肉,,
旋腡頭,,
畚箕,,
寒毛,,
寒毛孔,,
八鳥,,
卵頭子,,
卵卵頭,,
卵泡,,
卵子,,
走陽,,
起發,,
身丄來着,,
屁股,,
屁股爿,,
尾巴樁骨,,
屁眼,,
洞肛,,
屎孔,,
骨頭,,
青筋,,
血管,,
腰子,,
大腸,,
小腸,,
生病,,
小毛病,,
大毛病,,
打扯,,
喫力,,
病好點着,,
病好着,,
請郎中,,
看病,,
搭脈,,
方子,,
撮藥,,
藥材店,,
藥罐頭,,
煎藥,,
頭潽,,
二潽,,
膏藥,,
買藥,,
藥房,,
藥粉,,
塔藥,,
藥膏,,
發寒熱,,
傷風,,
頭昏,,
頭裏痛,,
咳嗽,,
心嘈,,
肚皮痛,,
尿搖頭,,
心近,,
肚皮射,,
疰夏,,
發痧,,
出痧子,,
伐瘧子,,
癆病,,
鼓脹病,,
癟羅痧,,
出水痘,,
出天花,,
種牛痘,,
傷寒症,,
黃疸病,,
盲腸炎,,
小腸氣,,
疰車,,
疰船,,
羊牽風,,
粗頭頸,,
栗子筋,,
老熟,,
摜傷,,
跌傷,,
碰傷,,
青胖塊,,
鬼的青胖塊,,
滾膿,,
蓋頭,,
疻水,,
癩痢頭,,
眯妻眼,,
鬥雞眼,,
抓爸眼,,
酒糟鼻頭,,
蛀牙子,,
興活,,
瘰瘰頭,,
熱癤頭,,
凍瘃,,
楊梅瘡,,
豬狗臭,,
乳鵝,,
生瘡,,
生疔,,
痔瘡,,
癩疥瘡,,
痱子,,
樹頭肉,,
雀子斑,,
酸胖氣,,
開爪,,
老人頭氣,,
瞎子,,
聾彭,,
啞子,,
駝背,,
齁背,,
蹺腳,,
直腳,,
抓手,,
癱子,,
閘角頭,,
笡肩架,,
長子,,
矮子,,
大塊頭,,
个子,,
刁嘴,,
癡子,,
禿頭,,
麻子,,
豁嘴,,
齆鼻頭,,
雌雞學嚨,,
六節頭,,
濟腳風,,
吊眼皮,,
眯棲眼,,
老光眼,,
紅眼睛,,
鬥雞眼,,
偷針眼,,
䶕牙子,,
嘴臭,,
金肉痱子起,,
腳牽筋,,
髈牽筋,,
親事,,
媒人,,
相親,,
配親,,
賣相,,
長相,,
年紀,,
訂婚,,
擔盤,,
辦酒水,,
喫酒水,,
討家小,,
出嫁,,
嫁囡兒,,
結婚,,
好日,,
花轎,,
拜堂,,
新官人,,
新娘娘,,
新房,,
回門,,
續絃,,
填房,,
有喜,,
拖身體,,
大肚皮,,
做舍姆,,
舍姆,,
小產,,
養小人,,
做動,,
發動,,
滿月,,
頭生,,
喫奶奶,,
奶奶頭,,
彎尿,,
生日,,
過生日,,
做壽,,
過世,,
